,titles,category,summary
0,블루 록,액션,줄거리 세계 제일의 에고이스트가 아니면  세계 제일의 스트라이커가 될 수 없다   일본을 월드컵 우승으로 이끌 스트라이커를 육성하기 위해 일본 축구 연맹은 어떤 계획을 내세웠다  그 이름은  블루 록 푸른 감옥   프로젝트   그렇게 해서 모인    명의 고등학생들  거기에다 모두    포워드  포지션이었다      명의 축구 생명을 희생시켜 탄생할  일본 축구에 혁명을 불러일으킬 스트라이커는 과연   지금  역사상 가장 뜨겁고 정신 나간 축구 애니메이션이 개막한다       접기
1,Free   한국어 더빙 ,액션,줄거리  나나세 하루카 는  물에 닿는 것  헤엄치는 것 을 좋아한다   초등학생 때 같은 수영 클럽에 다니던  나나세 하루카   타치바나 마코토   마츠오카 린   하즈키 나기사  그들은 초등학교 졸업 전에 나간 대회에서 우승한 것을 마지막으로 각자 다른 길로 나아간다   이윽고 시간이 흘러 평범하게 고교 생활을 보내던 하루카의 앞에 린이 나타난다  하루카에게 도전하고 압도적인 실력을 보여주는 린  이대로는 끝낼 수 없다   그리고  마코토와 나기사가 다시 모이고 새롭게  류가자키 레이 를 끌어들여 이와토비 수영부를 설립한다   하루카  마코토  나기사  레이  그리고 린  이것은 약동감 넘치는 남자 고교생들의 수영과 청춘과 인연의 이야기       접기
2,Extreme Hearts,액션,줄거리 지금보다 조금 미래의 이야기  서포트 아이템 익스트림 기어를 사용해서 즐기는  하이퍼 스포츠 는 아이부터 어른까지 다양한 계층에게 인기가 있는 하비 경기   그런 하이퍼 스포츠와는 아무런 인연도 없었던 고등학생 가수  하야마 히요리에게 찾아온 어떤 사건과 만남을 계기로 이야기는 움직이기 시작했는데    이것은 우리들이 최고의 동료들과 만나게 되는 이야기       접기
3,슛  Goal to the Future,액션,줄거리 전 카케가와 고등학교 축구부 주장이자  이탈리아 명문 팀에서 활약한  세계의 투장  카미야 아츠시   지금은 약체화된 카케가와 고등학교에 다니며  축구부와는 거리를 두려고 하는 츠지 히데토   두 사람이 만났을 때  새로운 전설의 막이 오른다       접기
4, 극장판  Free   the Final Stroke  전편,액션,줄거리 세계를 목표로 하는 나나세 하루카의 새로운 무대는 이전에 방문했던 꿈의 장소인 시드니  그곳으로 떠나기 전 잠시 휴식을 취하던 어느 날  하루카는 전 일본 수영 경기 대표 선발전에서 싸웠던 한 선수와 우연히 대치하고 투지를 불태운다   함께 헤엄쳐 왔던 동료들과의 추억을 가슴에 품고 한층 더 새로운 경지에 발을 내디디는 하루카  그곳에서 기다리고 있는 건 절대 왕자   알베르트 워란데르  시드니 대회를 위해 선수들은 저마다 사기를 북돋워간다  세계의 정점을 겨루는 가운데  그들은 무엇을 느끼고 무엇을 위해 헤엄치는가   물과 마주하는 그들의 뜨거운 싸움이 여기서 시작된다       접기
5,러브 올 플레이,액션,줄거리 시속      로 꿰뚫는 단 한 번의 청춘  시합 개시  스매시를 할 때의 속도가 시속      를 넘는 세계 최속의 스포츠  셔틀콕을 계속 따라가며 청춘을 건 배트민턴부의 고등학생들   동료와 부딪치고  가족들의 도움 아래 힘을 얻고 절차탁마해나간다  청춘의 달콤함과 쌉싸름함  상쾌함 그리고 투명감   뜨거운 마음을 셔틀콕에 실은 그들의 청춘이 이제 시작된다       접기
6,BIRDIE WING  Golf Girls  Story ,액션,줄거리 유럽 어딘가에 있는 나라 나프레스  천재적인 골프 실력을 가진 이브는 먹고살기 위해 내기 골프로 돈을 버는 나날을 보내고 있었다  그러던 어느 날  대기업 영애이자 엘리트 골퍼인 아마와시 아오이와 운명적인 만남을 이루었다   모든 것이 다른 세계에서 살고 있는 두 명의 천재  서로의 마음을 꿰뚫은 것은 단 한 방의 샷이었다   무지갯빛 탄환  레인보우 불릿 이라 불리는 이브와 압박감과는 상관없이 순수하게 골프를 즐기는 천진난만한 폭군  아오이  둘은 그렇게 서로에게 끌리고  영향을 받고  변해갔다   재능과 재능이 부딪치는 골프 걸즈 스토리   날아올라라  세계로       접기
7,리맨즈 클럽,액션,줄거리 천재적인 관찰안으로 배드민턴 선수로서 활약했던 시라토리 미코토  하지만  인터하이에서의 트라우마 때문에 생각한 대로 플레이를 할 수 없게 되었다  사회인 선수로서 소속돼 있던 강호 팀 미츠호시 은행에서 해고당한 미코토   선수로서의 재기를 걸고 선라이트 베버리지에 입사한 그를 기다리고 있던 것은 익숙지 않은 회사원으로서의 업무와 성과를 내지 못하고 있던 약소 배드민턴부  덤으로 덜렁대고  목소리가 크고  이상하게 친한 척하는 아저씨    미야즈미 타츠루   전 천재 신입사원과 호쾌한 아저씨  배드리맨   모든 게 정반대인 콤비가 탄생했을 때 포기했던 꿈이 다시 한번 막을 연다       접기
8,풋살 보이즈     ,액션,줄거리 풋살이 세계적으로 붐이 된지 십수 년       월드컵 결승전을 본 야마토 하루는 일본 대표 선수 텐노지 토키나리를 보고 강하게 동경하게 된다   그리고 의기양양하게 입부한 코요 학원 풋살부에서 동료에게 공을 패스하지 않는 고고한 선수 사카키 세이치로와 풋살을 포기할 뻔했던 과거를 지닌 츠키오카 토이 일행과 만난다   각자 아픈 과거가 있지만 그래도 지금은 풋살이 하고 싶다   약하고 흔들리기 쉽지만 열정을 두르고 달려 나간다  남자 고등학생들의 전력을 다 하는  순간  청춘 이 시작된다     접기
9,Free ,액션,줄거리  나나세 하루카 는  물에 닿는 것  헤엄치는 것 을 좋아한다   초등학생 때 같은 수영 클럽에 다니던  나나세 하루카   타치바나 마코토   마츠오카 린   하즈키 나기사  그들은 초등학교 졸업 전에 나간 대회에서 우승한 것을 마지막으로 각자 다른 길로 나아간다   이윽고 시간이 흘러 평범하게 고교 생활을 보내던 하루카의 앞에 린이 나타난다  하루카에게 도전하고 압도적인 실력을 보여주는 린  이대로는 끝낼 수 없다   그리고  마코토와 나기사가 다시 모이고 새롭게  류가자키 레이 를 끌어들여 이와토비 수영부를 설립한다  하루카  마코토  나기사  레이  그리고 린  이것은 약동감 넘치는 남자 고교생들의 수영과 청춘과 인연의 이야기     접기
10,프라오레   PRIDE OF ORANGE ,액션,줄거리 마음의 유대로 퍽을 연결해라   닛코시에 근거지를 둔 아이스하키 팀 드림 몽키즈   그 드림 몽키즈가 개최하는 체험 교실의 문을 두드린 것은 닛코시에 사는 중학생 마나카와 그녀에게 끌려온 동생 아야카와 소꿉친구인 카오루코와 마미  체험 교실에는 같은 참가자인 리코와 나오미도 있었다   연습 후 모두 아이스하키의 매력에 푹 빠져버려  다음 주에도 참가하자 라고 말할 정도였다  결국 감독인 요코의 제안으로 마나카  아야카  카오루코  그리고 리코와 나오미는 드림 몽키즈에 정식으로 입단하기로 한다   그러던 중 강호 팀인 쿠시로 스노우 화이트 소속의 유명한 선수인 유우가 팀을 탈퇴하기만 하는 게 아니라  아이스하키도 그만둘 결심을 하고 할머니가 살고 있는 닛코시로 오게 되는데    두 번 다시 링크에 설 일은 없어   그렇게 생각하던 유우를 다시 링크에 돌아오게 한 것은 요코와 마나카 일행이었다  이렇게 유우를 맞이한 드림 몽키즈  연습 시합  합숙 등을 함께하면서 모두 각자 성장했고 팀은 한마음이 되었다    마음의 유대로 퍽을 연결해라  를 구호로  대회에 출전한 드림 몽키즈  과연 그 결과는   이것은 소녀들의 땀과 눈물의 성장 이야기이다     접기
11,RE MAIN,액션,줄거리 중학교  학년 겨울에 수구 전국 대회에서 우승한 키요미즈 미나토는 집으로 돌아가던 중 교통사고를 당해 한동안 혼수상태에 빠졌다     일 후  드디어 눈을 떴지만 그는 중학교  년 동안의 기억을 잃어버린 상태였다   미나토는 수구도 그만둔 채 새로운 기분으로 야마나미 고등학교에 입학했지만  하나의 약속을 계기로 그곳에서 만난 동료들과 함께 수구를 다시 시작하게 되었다  하지만  약소 수구부의 앞길에는 수많은 고난들이 기다리고 있었는데                         접기
12,백 텀블링  ,액션,줄거리  웃었던 만큼 높이  울었던 만큼 강하게   중학교 마지막 여름  남자 리듬 체조 를 만나 강렬한 이끌림을 느낀 소년  후타바 쇼타로    사립 소슈칸 고등학교 통칭 아오고 에 입학한 쇼타로는 남자 리듬 체조부의 문을 두드린다  그곳에는 개성적인 선배들과 중학교 남자 리듬 체조계의 스타  미사토 료야 가 있었다   어느 하나에 전부를 건 뜨거운 청춘의 나날  때로는 좌절하고 엇갈리지만 동료와 함께 보내는 매일 속에서 열심히 하나의 목표를 향해서 팀으로 달려가는 모습을 그린  스포츠   청춘 군상극    이번 봄  열정을 건 진짜 청춘이 시작된다       접기
13,세스타스  The Roman Fighter ,액션,줄거리 이것은 로마의 압정이 이루어지는 세상에서  가혹한 운명에 몸부림치며 싸워나가는 한 소년의 이야기   노예 권투사 양성소에서 처음으로 시합에 도전하는 세스타스  친구가 상대인지라 주저하면서도 경기에서 이겼는데  진 상대는 그 자리에서 살해당하고 말았다   패배자에게 내일은 없다  그렇게 스승인 자하르는 말했다     이길 때마다 상대가 죽는다면 살인자랑 다를 게 뭐야  라고 울분을 토해도 현실은 냉혹했다  슬픔도 분노도 전부 양 주먹에 꽉 쥐고 계속 살아가고자 하는 세스타스의 앞에 차례로 나타나는 강적들과 로마 제국 제 대 황제 네로의 그림자   이기는 것 말고는 자유의 몸이 될 길이 없는 세스타스는  내일 을 붙잡을 수 있을 것인가     접기
14,WAVE   서핑하자   ,액션,줄거리 바다 위에서 우리는 자유로워진다   문자 그대로 일 년 내내 거대한 파도가 밀려오는 이바라키현의 오오아라이에서 나고 자란 마사키는  왕자님과도 같은 전학생 쇼와 만나 한 장의 서핑 보드를 끼고 지구와 대치하는 궁극의 스포츠  서핑을 알게 된다   그것은  파도타기의 매력에 빠지게 된 소년들의 끝없는 이야기의 시작이었는데      접기
15,체조 사무라이,액션,줄거리 때는     년  한때 강성했던 일본 남자 체조계  체조에 인생을 건 전 일본 국가대표  아라가키 죠타로    는 생각한 대로 연기가 되지 않고 있었다   그래 도 연습을 거듭하는 나날을 보내고 있었지만  어느 날 코치인 아마쿠사에게서  은퇴 를 권유받는다  고민하는 죠타로  그를 지지하는 그의 딸 레이   하지만  어떤  만남 에 의해 아라가키 집안의 운명은 크게 변해 가는데     접기
16,이와카케루   Sport Climbing Girl ,액션,줄거리  스포츠 클라이밍   그것은 두뇌와 육체를 사용해서 자신의 신체 하나만으로 벽을 오르는 경기   퍼즐 게임의 천재 카사하라 코노미가 우연히 만나게 된  교내 명물인 클라이밍 월  코노미의 눈에 그것은 마치 알록달록한  바위의 퍼즐 처럼 보였다  그런 운명적인 만남이 코노미의 인생을 바꾼다   하나미야 여자 고등학교 클라이밍부의 동료들과 함께 정상을 목표로 올라가는 뜨거운 본격 클라이밍 스토리가 지금 시작된다      접기
17,호시아이의 하늘,액션,줄거리 감독 아카네 카즈키가 선사하는 대망의 오리지널 신작 애니메이션이 시동  캐릭터 원안에는 신진기예의 인기 일러스트레이터 이츠카를 기용하여  아카네 카즈키가 자아내는 이야기를 섬세하게 그려낸다   무대는 폐부 직전의 남자 소프트 테니스부  캡틴인 신조 토마는 이제 막 전학 온 카츠라기 마키에게 소프트 테니스 부 입부를 권유하는데    많은 생각과 고민을 가진 소년들을 소프트 테니스부를 무대로 그리는 오리지널    애니메이션     접기
18,덤벨 몇 킬로까지 들 수 있어 ,액션,줄거리  히비키  너 또 살쪘냐   먹는 게 가장 좋은 여고생  사쿠라 히비키의 마음에 꽂힌 친구의 비정한 한 마디  여름방학 때까지 살을 빼겠다고 다짐하는 히비키였지만  혼자서는 제대로 된 운동을 할 수가 없었다  그래서 간 곳이 헬스클럽  그리고 그 곳에서 카리스마 미인 학생회장  소류인 아케미와 만난다  히비키는 깊고도 즐거운 근력 트레이닝의 세계에 발을 담그게 되는데     접기
19,다이아몬드 에이스 ACT  ,액션,줄거리  학년이 되고  드디어 꿈에 그리던 고시엔에 입성한 사와무라 에이쥰  남은 목표는 고시엔에서 우승해 명문의 이름을 부활시키는 것뿐  세이도 고등학교 야구부  쾌조의 출발이 시작된다    
20, 월의 신데렐라 나인,액션,줄거리  학년이 되고  드디어 꿈에 그리던 고시엔에 입성한 사와무라 에이쥰  남은 목표는 고시엔에서 우승해 명문의 이름을 부활시키는 것뿐  세이도 고등학교 야구부  쾌조의 출발이 시작된다    
21,바람이 강하게 불고 있다,액션,줄거리 사토가하마 고등학교에 입학한 아리하라 츠바사는 남자 야구부도 없는 학교에서 여자 야구부를 만든다  야구부에 모여든 것은 야구를 처음 접해본 아이와 이미 한 번 포기했던 아이  벽을 뛰어 넘고자 계속해서 도전하는 아이  때론 부딪히고  경쟁하고  서로를 지탱하며 이 세상에서 단 하나뿐인 뜨거운 여름이 시작된다     접기
22,츠루네   카제마이고교 궁도부,액션,줄거리 어느 날 밤  도망치듯이 거리를 내달리는 쿠라하라 카케루  그리고 그런 카케루의 옆에는 어느 한 자전거가 따라잡아 나란히 달리고 있었다  한 번도 본 적 없는 그 남자는 물었다  이봐  달리는 거 좋아해  남자의 이름은 키요세 하이지  카케루는 하이지에게 붙잡혀 치쿠세이장이라는 이름의 낡은 연립 주택으로 오게 된다  그곳엔 개성 넘치는  명의 주민들이 있었고  마지막으로 하나 남은 방에 들어올 것을 제안 받은 카케루  당황스러웠지만 일단 그 방에 들어가기로 한 카케루는  설마 자신이  열 명째 남자 가 될 줄은 꿈에도 몰랐다     접기
23,히노마루 스모,액션,줄거리 공립학교 카제마이 고등학교에 입학한 나루미야 미나토  입학하자마자 토미 선생님에게서 궁도부에 들어올 것을 권유받았고  소꿉친구인 타케하야 세이야  야마노우치 료헤이는 흔쾌히 승낙한다  그와 달리 이유가 있는 듯  쉽게 결정하지 못하고 망설이는 모습을 보이는 미나토  료헤이는 그런 미나토를 궁도부 설명회에 끌고 들어가고  거기서 키사라기 나나오와 오노기 카이토를 만나게 된다  궁도 경험자는 몇 없어 귀했기에  토미 선생님의 지명으로 설명회 참가자들 앞에서 궁도 시범을 보이게 된 미나토  하지만 미나토가 쏜 화살은 좀처럼 과녁에 맞지 않았고  불발의 이유인 즉  활 쏘기에 있어서 미나토는 큰 병을 가지고 있었기 때문이었다  미나토  세이야  료헤이  나나오  카이토  궁도로 만난 이들 다섯 명이  아름답고도 씁쓸한 청춘 속에서 버둥대며 나아간 끝에 거머쥐는 것은 과연 무엇인가     접기
24,,,줄거리 요코즈나라는 꿈을 향한 장사들의 격투가 시작된다  별 볼 일 없는 오다치 고등학교의 스모부에 나타난  짧은  신입생  우시오 히노마루  크고 무거운 자가 유리한 경기에는 전혀 어울리지 않는 체격을 가진 히노마루였지만  그에게는 큰 꿈이 있었다  정점에 오르려는 히노마루의 앞에  치열한 고등학교 스모의 막이 지금 열린다     접기
25,겁쟁이 페달 NEW GENERATION   기 ,액션,줄거리 전국대회 인터하이에서 팀 전원의 힘으로 강호 하코네학원의 강호들에게서 승리를 거두면서 종합 우승을 차지한 소호쿠 고등학교  뜨거운 여름을 뒤로  학년 신고  유스케  진의 은퇴를 맞아  학년으로 인터하이에서 활약했던 사카미치  슌스케  쇼키치와 새로운  학년 주장 쥰타와 부주장 하지메는 새로운 팀으로서 인터하이 연패를 목표로 달려 나간다  왕자탈환을 목표로 새로운 멤버를 추가해 새로운 팀으로써 움직이기 시작한 하코네 학원과 괴물 레이서 아키라가 이끄는 도쿄 쿄후시고교  전국의 강호들도 인터하이의 정점을 향해 단련한다  새로운 동료  라이벌과의 새로운 대결  남자들의 뜨거운 드라마가 다시 시작된다     접기
26,겁쟁이 페달  기,액션,줄거리 소후쿠 고등학교에 입학한 애니메이션과 피규어를 좋아하는 오타쿠 소년  오노다 사카미치  같은 신입생으로 중학생 때부터 자전거 레이서로 유명한 이마이즈미와나루코 와의 만남을 계기로  사카미치는 자전거의 즐거움을 알고  자전거 경기부에입부한다  무럭무럭 재능을 늘려온 사카미치는 전국 체전의 멤버로 선택된다   전원이 에이스 라고 불리는 최강의 팀  왕자 하코네학교와 괴물 미도스지가 끄는 교토후시미고등학교등 전국의 강호고가 모이는  일간의 잔혹한 싸움에 도전하는 소호쿠    학교 동시 도착이라는 파란의 결과가 된 전국 체전  일째  그리고 각각이 결의를 새롭게 하고 스타트 라인에 선 전국 체전  일째  소호쿠는 예기치 못한 일들이 일어나지만 전원의 힘으로 하코네 학교와 교토후시미를 쫓아 온다  그리고  일째의 골을 따기 위해  각각의 팀의  에이스 가 움직이기 시작한다  승리를 위해  마음이 담긴 유니폼을 골에 넣기 위해  종합 우승을 건 남자들의 싸움이 가속한다      접기
27,겁쟁이 페달,액션,줄거리 지바 현에 있는 소호쿠 고등학교에 다니는 오노다 사카미치는 조금 나약하고 애니메이션을 좋아하는 고등학교  학년  사카미치는 고등학교에 들어가면 애니메이션 연구부에 가입하려 했는데  중학교 자전거계에서 두각을 나타냈던 이마이즈미 슌스케와 간사이의 자전거 대회에서 상을 휩쓴 나루코 아키요시와의 만남으로 인해 사이클부에 들어가게 된다  사이클부에서 격렬한 트레이닝이나 사건이 기다리고 있지만  킨죠  타도코로  마키시마 등 개성적인 선배나 많은 동료에 힘입어 수많은 시련을 헤쳐 나갈 사카미치  그러한 나날 속에서 사카미치 안에 잠들어 있는 로드 레이서로서의 재능이 깨어나기 시작한다       접기
28,Free  Dive to the Future,액션,줄거리 고등학교를 졸업하고  수영으로 이어진 인연을 가슴에 품은 채 각자의 미래를 향해 발걸음을 내딛는다 하루카는 도쿄에서 중학교 때 같이 계영을 했던 아사히와 만나게 된다  그로 인해 예전 기억을 새록새록 떠올리던 하루카의 머릿속에 되살아난 것은  그 시절 의 이쿠야였다  하루카와 함께 상경한 마코토는 새로운 꿈을 향해 나아가고  시드니에 간 린에게는 뜻밖의 만남이 찾아온다  각자의 미래에서 그들이 맞이하는 것은 새로운 경쟁인가  묻어둔 과거와의 대면인가 초등학생  중학생  고등학생  그리고 대학생  하루카와 아이들이 물 속에서 맺어온 우정과 청춘의 이야기는                         에서 하나가 된다     접기
29,하루카나 리시브,액션,줄거리 도쿄에서 오키나와로 이사온 고등학교  학년  오오조라 하루카  하루카는 밝고 긍정적인 성격이지만 남들보다 큰 키가 콤플렉스였다  그리고 공항으로 마중 나온 하루카의 사촌  히가 카나타  하지만 카나타는 좀처럼 키가 크질 않는 탓에 좋아하는 비치 발리볼을 그만둬야만 했다  그런 상반된 두 사람이 어떤 일을 계기로 비치 발리볼 페어가 되었다  드넓은 모래 코트 위엔 오직 두 사람뿐  그렇기에 파트너가 굉장히 큰 존재인 비치 발리볼에서 두 사람은 어떤 플레이를 선보일 것인가  한여름의 태양이 내리쬐는 오키나와의 해변에서 지금  소녀들의 땀과 열정이 빛을 발한다     접기
30,극장판 쿠로코의 농구 라스트 게임,액션,줄거리 기적의 드림팀  가장 흉한한 미국팀  지금 맞이하는 운명의              윈터컵에서 세이린 고등학교가 전국을 제패하고 몇 개월 뒤    학년이 된 쿠로코의 여름이 끝나갈 즈음  미국에서 길거리 농구팀             가 방일한다   그들은 친선 시합에서 차원이 다른 실력을 보여줌과 동시에 일본 플레이어들을 무시하며 비웃는 모습으로 관객들의 공분을 산다   이번 일본 방문 이벤트 관계자였던 아이다 카케토라는 그 태도에 격노해 리벤지 매치를 선언하고              에 대항할 수 있는 최강의 멤버로 쿠로코와 카가미  그리고  기적의 세대 를 모아 단 한경기만을 위한 드림팀                를 결성한다     접기
